t_ms,cpu_pct,ram_mb
1.0,27.0,209.4
1688.7,3.0,209.7
3366.3,58.0,210.1
5100.7,158.0,215.6
6822.1,120.0,215.4
8511.2,159.0,214.5
10282.0,177.0,214.2
12026.4,151.0,214.1
13779.5,167.0,214.8
15560.6,152.0,214.9
17263.9,136.0,214.2
19030.8,159.0,214.2
20719.2,210.0,214.8
22449.2,145.0,214.0
24138.3,164.0,214.3
25868.2,159.0,213.0
27590.4,162.0,214.2
29409.8,150.0,213.6
31073.6,188.0,215.4
32794.7,181.0,212.6
34476.1,163.0,210.2
36172.2,197.0,215.9
37904.1,175.0,214.0
39684.8,155.0,215.7
41424.2,160.0,215.6
43218.0,105.0,214.3
44911.7,183.0,215.6
46682.7,178.0,214.7
48437.7,122.0,215.2
50143.7,126.0,203.6
52181.0,121.0,200.1
53880.4,145.0,196.2
55553.9,155.0,196.0
57259.5,158.0,196.3
58931.2,100.0,190.7
60647.2,130.0,189.4
62385.1,166.0,188.8
64167.6,105.0,189.7
65887.7,155.0,186.6
67594.8,170.0,186.5
69331.1,177.0,186.7
71023.4,160.0,185.7
72706.7,194.0,186.5
74449.6,172.0,186.5
76132.6,171.0,186.5
77784.8,187.0,186.7
79514.6,184.0,186.5
81221.4,151.0,186.5
82907.9,174.0,187.4
84643.9,154.0,188.1
86450.1,149.0,187.9
88233.3,159.0,188.0
89993.2,173.0,186.6
91652.1,186.0,187.3
93327.4,192.0,188.0
95063.9,191.0,188.0
96778.1,103.0,188.0
98493.7,152.0,188.9
100215.9,173.0,189.7
101925.2,157.0,189.7
103702.1,145.0,189.9
105456.8,175.0,190.5
107166.4,130.0,189.7
108905.6,183.0,189.8
110638.9,142.0,189.1
112381.1,154.0,188.2
114100.1,161.0,187.3
115810.8,136.0,185.7
117530.5,190.0,186.5
119256.0,194.0,185.6
121017.4,213.0,186.8
122782.5,188.0,186.3
124525.9,167.0,185.7
126258.6,135.0,185.6
128017.8,162.0,185.5
129742.1,173.0,184.9
131472.7,156.0,185.5
133171.5,182.0,185.0
134918.4,183.0,185.4
136664.1,172.0,185.6
138334.3,187.0,184.9
140148.8,154.0,184.9
141890.3,136.0,184.3
143584.7,138.0,185.3
145309.5,149.0,186.2
147115.6,151.0,184.6
148852.2,148.0,185.8
150586.5,162.0,185.5
152415.9,116.0,185.9
154146.8,187.0,184.8
155906.7,141.0,185.2
157628.5,182.0,186.2
159459.6,146.0,184.3
161123.3,213.0,186.1
162918.6,194.0,185.7
164648.8,180.0,185.7
166400.6,153.0,185.3
168160.7,133.0,184.5
169882.8,164.0,184.3
171662.8,167.0,183.2
173396.7,149.0,183.7
175100.8,172.0,183.9
176799.3,161.0,181.6
178600.8,110.0,180.9
180332.4,185.0,181.3
182021.3,130.0,180.5
183825.7,145.0,182.0
185554.3,176.0,182.5
187331.3,159.0,180.3
189085.4,173.0,181.0
190813.8,174.0,181.7
192571.0,179.0,182.3
194315.3,140.0,180.8
196018.4,187.0,182.4
197829.5,178.0,182.5
199554.1,132.0,181.9
201302.2,136.0,182.4
203079.7,3.0,180.7
204853.4,3.0,182.7
206661.9,7.0,182.4
208434.5,17.0,183.0
210247.0,11.0,182.6
212076.8,1.0,182.6
213850.3,1.0,182.6
215625.1,4.0,181.9
217412.5,2.0,182.6
219198.0,1.0,182.6
220937.4,2.0,183.6
222741.7,2.0,182.6
224537.3,2.0,182.6
226330.3,3.0,182.4
228145.3,3.0,181.7
230022.2,2.0,182.3
231889.6,2.0,182.3
233702.6,2.0,181.3
235454.1,2.0,181.0
237235.2,1.0,181.0
239037.5,3.0,181.0
240862.9,1.0,181.0
242653.1,4.0,181.0
244392.9,1.0,181.0
246213.7,2.0,181.0
248034.3,6.0,181.0
249831.0,2.0,181.0
251656.9,2.0,181.0
253411.4,2.0,181.0
255201.8,2.0,181.0
257002.6,2.0,181.0
258820.1,3.0,181.0
260610.4,1.0,181.0
262395.2,1.0,181.0
264215.1,2.0,181.0
265937.1,2.0,181.0
267675.1,2.0,181.0
269505.2,2.0,181.0
271316.1,3.0,181.0
273079.2,1.0,181.0
274859.2,3.0,181.0
276613.3,2.0,181.0
278353.2,2.0,181.0
280165.2,2.0,181.0
281936.5,1.0,181.0
283702.3,1.0,181.0
285469.2,2.0,181.0
287187.5,1.0,181.0
288892.6,1.0,181.0
290675.1,2.0,181.0
292455.9,1.0,181.0
294207.0,2.0,181.0
296003.5,2.0,180.3
297839.6,1.0,181.0
299594.0,3.0,181.0
301377.0,2.0,181.0
303162.2,2.0,181.0
304929.8,2.0,181.0
306694.0,1.0,181.0
308479.5,3.0,181.0
310243.5,2.0,180.3
312021.9,1.0,181.0
313777.0,2.0,181.0
315509.3,1.0,181.0
317271.0,1.0,181.0
319088.5,1.0,181.0
320910.6,1.0,181.0
322722.8,3.0,181.0
324483.1,2.0,181.0
326220.3,2.0,181.0
327957.4,3.0,181.0
329699.0,1.0,181.2
331481.2,2.0,181.2
333252.8,1.0,181.3
335093.1,2.0,181.2
336883.2,1.0,181.2
338681.5,2.0,181.2
340488.7,1.0,181.2
342251.9,1.0,181.2
344005.9,2.0,181.2
345796.6,3.0,181.2
347561.6,2.0,181.2
349371.7,1.0,181.2
